Processor,Time,Bags
BELT 2,2:13:00 AM,0
BELT 4,2:13:00 AM,0
BELT 3,2:13:00 AM,0
BELT 1,2:14:00 AM,0
BELT 2,2:14:00 AM,0
BELT 4,2:14:00 AM,0
BELT 3,2:14:00 AM,0
BELT 1,2:15:00 AM,0
BELT 2,2:15:00 AM,0
BELT 4,2:15:00 AM,0
BELT 3,2:15:00 AM,0
BELT 1,2:16:00 AM,0
BELT 2,2:16:00 AM,0
BELT 4,2:16:00 AM,0
BELT 3,2:16:00 AM,0
BELT 1,2:17:00 AM,0
BELT 2,2:17:00 AM,0
BELT 4,2:17:00 AM,0
BELT 3,2:17:00 AM,0
BELT 1,2:18:00 AM,0
BELT 2,2:18:00 AM,0
BELT 4,2:18:00 AM,0
BELT 3,2:18:00 AM,0
BELT 1,2:19:00 AM,0
BELT 2,2:19:00 AM,0
BELT 4,2:19:00 AM,0
BELT 3,2:19:00 AM,0
BELT 1,2:20:00 AM,0
BELT 2,2:20:00 AM,0
BELT 4,2:20:00 AM,0
BELT 3,2:20:00 AM,0
BELT 1,2:21:00 AM,0
BELT 2,2:21:00 AM,0
BELT 4,2:21:00 AM,0
BELT 3,2:21:00 AM,0
BELT 1,2:22:00 AM,0
BELT 2,2:22:00 AM,0
BELT 4,2:22:00 AM,0
BELT 3,2:22:00 AM,0
BELT 1,2:23:00 AM,0
BELT 2,2:23:00 AM,0
BELT 4,2:23:00 AM,0
BELT 3,2:23:00 AM,0
BELT 1,2:24:00 AM,0
BELT 2,2:24:00 AM,0
BELT 4,2:24:00 AM,0
BELT 3,2:24:00 AM,0
BELT 1,2:25:00 AM,0
BELT 2,2:25:00 AM,0
BELT 4,2:25:00 AM,0
BELT 3,2:25:00 AM,0
BELT 1,2:26:00 AM,0
BELT 2,2:26:00 AM,0
BELT 4,2:26:00 AM,0
BELT 3,2:26:00 AM,0
BELT 1,2:27:00 AM,0
BELT 2,2:27:00 AM,0
BELT 4,2:27:00 AM,0
BELT 3,2:27:00 AM,0
BELT 1,2:28:00 AM,0
BELT 2,2:28:00 AM,0
BELT 4,2:28:00 AM,0
BELT 3,2:28:00 AM,0
BELT 1,2:29:00 AM,0
BELT 2,2:29:00 AM,0
BELT 4,2:29:00 AM,0
BELT 3,2:29:00 AM,0
BELT 1,2:30:00 AM,0
BELT 2,2:30:00 AM,0
BELT 4,2:30:00 AM,0
BELT 3,2:30:00 AM,0
BELT 1,2:31:00 AM,0
BELT 2,2:31:00 AM,0
BELT 4,2:31:00 AM,0
BELT 3,2:31:00 AM,0
BELT 1,2:32:00 AM,0
BELT 2,2:32:00 AM,0
BELT 4,2:32:00 AM,0
BELT 3,2:32:00 AM,0
BELT 1,2:33:00 AM,0
BELT 2,2:33:00 AM,0
BELT 4,2:33:00 AM,0
BELT 3,2:33:00 AM,0
BELT 1,2:34:00 AM,0
BELT 2,2:34:00 AM,0
BELT 4,2:34:00 AM,0
BELT 3,2:34:00 AM,0
BELT 1,2:35:00 AM,0
BELT 2,2:35:00 AM,0
BELT 4,2:35:00 AM,0
BELT 3,2:35:00 AM,0
BELT 1,2:36:00 AM,0
BELT 2,2:36:00 AM,0
BELT 4,2:36:00 AM,0
BELT 3,2:36:00 AM,0
BELT 1,2:37:00 AM,0
BELT 2,2:37:00 AM,0
BELT 4,2:37:00 AM,0
BELT 3,2:37:00 AM,0
